property_id,date,price
hos41006685,2023-03-01,1740000000
hos41006685,2023-04-01,1694000000
hos41006685,2023-05-01,1669000000
hos41006685,2023-06-01,1637000000
hos41006685,2023-07-01,1621000000
hos41006685,2023-08-01,1592000000
hos41006685,2023-09-01,1578000000
hos41006685,2023-10-01,1590000000
hos41006685,2023-11-01,1581000000
hos41006685,2023-12-01,1595000000
hos41006685,2024-01-01,1604000000
hos41006685,2024-02-01,1573000000
hos41006685,2024-03-01,1552000000
hos41006685,2024-04-01,1567000000
hos41006685,2024-05-01,1579000000
hos41006685,2024-06-01,1580000000
hos41006685,2024-07-01,1566000000
hos41006685,2024-08-01,1609000000
hos41006685,2024-09-01,1661000000
hos41006685,2024-10-01,1700000000
hos41006685,2024-11-01,1723000000
hos41006685,2024-12-01,1732000000
hos41006685,2025-01-01,1723000000
hos41006685,2025-02-01,1719000000
hos41006685,2025-03-01,1726000000
hos41006685,2025-04-01,1740000000
hos41006685,2025-05-01,1762000000
hos41006685,2025-06-01,1771000000
hos41006685,2025-07-01,1778000000
hos41006685,2025-08-01,1780000000
hos41006685,2025-09-01,1782000000
hos41006685,2025-10-01,1792000000
hos41006685,2025-11-01,1777000000
hos41006685,2025-12-01,1780000000
hos41006685,2026-01-01,1796000000
hos41006685,2026-02-01,1800000000
hos41013161,2023-03-01,1842000000
hos41013161,2023-04-01,1778000000
hos41013161,2023-05-01,1751000000
hos41013161,2023-06-01,1766000000
hos41013161,2023-07-01,1769000000
hos41013161,2023-08-01,1788000000
hos41013161,2023-09-01,1792000000
hos41013161,2023-10-01,1805000000
hos41013161,2023-11-01,1815000000
hos41013161,2023-12-01,1803000000
hos41013161,2024-01-01,1825000000
hos41013161,2024-02-01,1827000000
hos41013161,2024-03-01,1815000000
hos41013161,2024-04-01,1823000000
hos41013161,2024-05-01,1853000000
hos41013161,2024-06-01,1874000000
hos41013161,2024-07-01,1891000000
hos41013161,2024-08-01,1960000000
hos41013161,2024-09-01,2041000000
hos41013161,2024-10-01,2074000000
hos41013161,2024-11-01,2070000000
hos41013161,2024-12-01,2119000000
hos41013161,2025-01-01,2126000000
hos41013161,2025-02-01,2145000000
hos41013161,2025-03-01,2148000000
hos41013161,2025-04-01,2146000000
hos41013161,2025-05-01,2146000000
hos41013161,2025-06-01,2165000000
hos41013161,2025-07-01,2187000000
hos41013161,2025-08-01,2204000000
hos41013161,2025-09-01,2226000000
hos41013161,2025-10-01,2252000000
hos41013161,2025-11-01,2265000000
hos41013161,2025-12-01,2271000000
hos41013161,2026-01-01,2281000000
hos41013161,2026-02-01,2270000000
hos41041529,2023-03-01,3061000000
hos41041529,2023-04-01,2980000000
hos41041529,2023-05-01,2935000000
hos41041529,2023-06-01,2848000000
hos41041529,2023-07-01,2852000000
hos41041529,2023-08-01,2883000000
hos41041529,2023-09-01,2928000000
hos41041529,2023-10-01,2936000000
hos41041529,2023-11-01,2922000000
hos41041529,2023-12-01,2922000000
hos41041529,2024-01-01,2937000000
hos41041529,2024-02-01,2913000000
hos41041529,2024-03-01,2873000000
hos41041529,2024-04-01,2930000000
hos41041529,2024-05-01,2941000000
hos41041529,2024-06-01,2982000000
hos41041529,2024-07-01,3004000000
hos41041529,2024-08-01,3098000000
hos41041529,2024-09-01,3179000000
hos41041529,2024-10-01,3262000000
hos41041529,2024-11-01,3299000000
hos41041529,2024-12-01,3342000000
hos41041529,2025-01-01,3360000000
hos41041529,2025-02-01,3381000000
hos41041529,2025-03-01,3394000000
hos41041529,2025-04-01,3441000000
hos41041529,2025-05-01,3467000000
hos41041529,2025-06-01,3465000000
hos41041529,2025-07-01,3450000000
hos41041529,2025-08-01,3413000000
hos41041529,2025-09-01,3419000000
hos41041529,2025-10-01,3414000000
